order_count_with_promo,price_amount,promo_amount,category_f_order_count_with_promo,category_f_promo_amount,label
0.0,0.0001825758889566,0.0,0.0,0.0,0
0.0,0.0001239358642823,0.0,0.0,0.0,0
0.0,6.523846189305274e-05,0.0,0.0,0.0,0
0.0344827586206896,7.535042348647594e-05,0.0100980690808905,0.0588235294117647,0.0100980690808905,0
0.0,0.0001235170069632,0.0,0.0,0.0,0
0.0344827586206896,0.0046208540839142,0.0100980690808905,0.0588235294117647,0.0100980690808905,0
0.0,0.0002654293093379,0.0,0.0,0.0,0
0.0,0.0011380812381728,0.0,0.0,0.0,0
0.0,0.0001058159819025,0.0,0.0,0.0,0
0.0,3.922340593675539e-05,0.0,0.0,0.0,0
0.0,3.673235244239576e-05,0.0,0.0,0.0,0
0.0,0.0292236977989136,0.0,0.0,0.0,0
0.0,0.0001710326976416,0.0,0.0,0.0,0
0.0,0.0019074103041972,0.0,0.0,0.0,0
0.0,0.0001674564020467,0.0,0.0,0.0,0
0.0,4.5557905666740446e-05,0.0,0.0,0.0,0
0.0,0.0037958179698703,0.0,0.0,0.0,0
0.0,0.0002307846450538,0.0,0.0,0.0,0
0.0,0.0009450698346881,0.0,0.0,0.0,0
0.0,0.0010274902254548,0.0,0.0,0.0,0
0.0,0.0002062155075141,0.0,0.0,0.0,0
0.0344827586206896,0.0001596967303048,0.0176450293096455,0.0,0.0,0
0.0,0.0015724655407165,0.0,0.0,0.0,0
0.0,0.000151649300601,0.0,0.0,0.0,0
0.0,6.868112478978377e-05,0.0,0.0,0.0,0
0.0,0.002491173987561,0.0,0.0,0.0,0
0.0,4.343493021375632e-05,0.0,0.0,0.0,0
0.0,4.292923246899431e-05,0.0,0.0,0.0,0
0.0,3.675616419409816e-05,0.0,0.0,0.0,0
0.0,0.0326489296741595,0.0,0.0,0.0,0
0.0,0.0005997577263392,0.0,0.0,0.0,0
0.0,0.0002407339408254,0.0,0.0,0.0,0
0.0,2.844213329849275e-05,0.0,0.0,0.0,0
0.0,1.764364734574646e-05,0.0,0.0,0.0,0
0.0,1.2761492336462311e-05,0.0,0.0,0.0,0
0.0,0.0017097181988605,0.0,0.0,0.0,0
0.0,0.0002788560962792,0.0,0.0,0.0,0
0.0,4.016440046186186e-05,0.0,0.0,0.0,0
0.0,0.0014023379765281,0.0,0.0,0.0,0
0.0,0.0041783647774904,0.0,0.0,0.0,0
0.0,0.0001923301004973,0.0,0.0,0.0,0
0.0,6.546797275283481e-05,0.0,0.0,0.0,0
0.0,0.0008423048554001,0.0,0.0,0.0,0
0.0,0.0022936492530187,0.0,0.0,0.0,0
0.0,0.0004092637651633,0.0,0.0,0.0,0
0.0,2.932001233715916e-05,0.0,0.0,0.0,0
0.0,0.000297950998169,0.0,0.0,0.0,0
0.0,0.0005351906361543,0.0,0.0,0.0,0
0.0,0.0005683951197932,0.0,0.0,0.0,0
0.0,0.0003413228128963,0.0,0.0,0.0,0
0.0,0.0001626658218705,0.0,0.0,0.0,0
0.0,0.0003607738582629,0.0,0.0,0.0,0
0.0,0.0008111436495681,0.0,0.0,0.0,0
0.0,2.435683999437194e-05,0.0,0.0,0.0,0
0.0,0.0007326732554537,0.0,0.0,0.0,0
0.0,0.0042185260795557,0.0,0.0,0.0,0
0.0,0.0208612863200041,0.0,0.0,0.0,0
0.0,5.724999215204822e-05,0.0,0.0,0.0,0
0.0,3.838569129855083e-05,0.0,0.0,0.0,0
0.0,7.587514268965267e-06,0.0,0.0,0.0,0
0.0,0.000253487744548,0.0,0.0,0.0,0
0.0,2.366830741502573e-05,0.0,0.0,0.0,0
0.0,0.0001341204086851,0.0,0.0,0.0,0
0.0,0.0016458874992036,0.0,0.0,0.0,0
0.0,0.0006311847008124,0.0,0.0,0.0,0
0.0,0.0052494943125797,0.0,0.0,0.0,0
0.0,0.0001033085757594,0.0,0.0,0.0,0
0.0,3.107577041449198e-05,0.0,0.0,0.0,0
0.0,3.916029045031532e-05,0.0,0.0,0.0,0
0.0,0.0001134759068477,0.0,0.0,0.0,0
0.0,0.0004135413311902,0.0,0.0,0.0,0
0.0,9.534965554159564e-05,0.0,0.0,0.0,0
0.0,0.0005646426172358,0.0,0.0,0.0,0
0.0,0.0007592165880315,0.0,0.0,0.0,0
0.0,0.0007085722053126,0.0,0.0,0.0,0
